21. Isaac Brown, RB, Louisville (2027)
87. Danny Scudero, WR, Colorado (2027)

88. CJ Carr, QB, Notre Dame (2027)

89. Caleb Cunningham, WR, Ole Miss (2028)

90. Byrum Brown, QB, Auburn (2027)

91. Aaron Gregory, WR, Texas A&M (2029)

92. Darian Mensah, QB, Duke (2027)

93. Talyn Taylor, WR, Georgia (2029)

94. Elyiss Williams, TE, Georgia (2028)

95. Ousmane Kromah, RB, Florida State (2028)

96. Naeem Burroughs, WR, Clemson (2029)

97. Jordan Marshall, RB, Michigan (2027)

98. Nic Anderson, WR, LSU (2027)

99. Dilin Jones, RB, Wisconsin (2027)

100. Kenny Johnson, WR, Texas Tech (2027)


Devy QB Rankings
Arch Manning, Texas (2027)
Julian Sayin, Ohio State (2027)
Brendan Sorsby, Texas Tech (2027)
Jaron-Keawe Sagapolutele, Cal (2028)
LaNorris Sellers, South Carolina (2027)
Keelon Russell, Alabama (2028)
Bryce Underwood, Michigan (2028)
Faizon Brandon, Tennessee (2029)
Dylan Raiola, Oregon (2027)
Bear Bachmeier, BYU (2028)
Sam Leavitt, LSU (2027)
Marcel Reed, Texas A&M (2027)
Tavien St. Clair, Ohio State (2028)
Malik Washington, Maryland (2028)
Josh Hoover, TCU (2027)
Demond Williams Jr., Washington (2027)
Keisean Henderson, Houston (2029)
DJ Lagway, Baylor (2027)
Julian Lewis, Colorado (2028)
Husan Longstreet, LSU (2028)
John Mateer, Oklahoma (2027)
Jared Curtis, Vanderbilt (2029)
Dia Bell, Texas (2029
Deuce Knight, Ole Miss (2028)
Ethan Grunkmeyer, Virginia Tech (2028)
Nico Iamaleava, UCLA (2027)
Jayden Maiava, USC (2027)
CJ Carr, Notre Dame (2027)
Byrum Brown, Auburn (2027)
Darian Mensah, Duke (2027)
Devy RB Rankings
Kewan Lacy, Ole Miss (2027)
Ahmad Hardy, Missouri (2027)
Jadan Baugh, Florida (2027)
Bo Jackson, Ohio State (2028)
Isaac Brown, Louisville (2027)
Jordon Davison, Oregon (2028)
Savion Hiter, Michigan (2029)
Justice Haynes, Georgia Tech (2027)
LJ Martin, BYU (2027)
Ezavier Crowell, Alabama (2029)
Hollywood Smothers, Texas (2027)
Mark Fletcher, Miami (2027)
Caleb Hawkins, Oklahoma State (2028)
Nate Sheppard, Duke (2028)
Dierre Hill Jr., Oregon (2028)
Harlem Berry, LSU (2028)
Nate Frazier, Georgia (2027)
Quinton Martin, Penn State (2027)
AK Dear, Alabama (2028)
Raleek Brown, Texas (2027)
Cam Cook, West Virginia (2027)
Gideon Davidson, Clemson (2028)
Jonathan Hatton Jr., Oklahoma (2029)
Cam Edwards, Michigan State (2027)
Jonaz Walton, Notre Dame (2029)
Caden Durham, LSU (2027)
Ousmane Kromah, Florida State (2028)
Jordan Marshall, Michigan (2027)
Dillin Jones, Wisconsin (2027)
Devy WR Rankings
Jeremiah Smith, Ohio State (2027)
Malachi Toney, Miami (2028)
Chris Henry Jr., Ohio State (2029)
Dakorien Moore, Oregon (2028)
Ryan Williams, Alabama (2027)
Tristen Keys, Tennessee (2029)
Bryant Wesco, Clemson (2027)
Cam Coleman, Texas (2027)
Nick Marsh, Indiana (2027)
Andrew Marsh, Michigan (2028)
Jalen Lott, Oregon (2029)
Dallas Wilson, Florida (2028)
Ryan Wingo, Texas (2027)
TJ Moore, Clemson (2027)
Eugene Wilson III, LSU (2027)
Jayce Brown, LSU (2027)
Isaiah Sategna III, Oklahoma (2027)
Ethan Feaster, USC (2029)
Joshua Moore, Miami (2028)
Kaliq Lockett, Texas (2028)
Brandon Inniss, Ohio State (2027)
Nyck Harbor, South Carolina (2027)
Quincy Porter, Notre Dame (2028)
Isaiah Horton, Texas A&M (2027)
Eric Singleton Jr., Florida (2027)
Cederian Morgan, Alabama (2029)
Danny Scudero, Colorado (2027)
Caleb Cunningham, Ole Miss (2028)
Aaron Gregory, Texas A&M (2029)
Talyn Taylor, Georgia (2029)
Naeem Burroughs, Clemson (2029)
Nic Anderson, LSU (2027)
Kenny Johnson, Texas Tech (2027)
Devy TE Rankings
Terrance Carter Jr., Texas Tech (2027)
Trey'Dez Green, LSU (2027)
Luke Reynolds, Virginia Tech (2027)
Luke Hasz, Ole Miss (2027)
Kaelan Chudzinski, Boston College (2028)
Linkon Cure, Kansas State (2028)
Elyiss Williams, Georgia (2028)
